Абсолютный путь,Относительный путь,Класс
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0000.jpg,python\dataset\tiger\0000.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0001.jpg,python\dataset\tiger\0001.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0002.jpg,python\dataset\tiger\0002.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0003.jpg,python\dataset\tiger\0003.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0004.jpg,python\dataset\tiger\0004.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0005.jpg,python\dataset\tiger\0005.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0006.jpg,python\dataset\tiger\0006.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0007.jpg,python\dataset\tiger\0007.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0008.jpg,python\dataset\tiger\0008.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0009.jpg,python\dataset\tiger\0009.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0010.jpg,python\dataset\tiger\0010.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0011.jpg,python\dataset\tiger\0011.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0012.jpg,python\dataset\tiger\0012.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0013.jpg,python\dataset\tiger\0013.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0014.jpg,python\dataset\tiger\0014.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0015.jpg,python\dataset\tiger\0015.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0016.jpg,python\dataset\tiger\0016.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0017.jpg,python\dataset\tiger\0017.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0018.jpg,python\dataset\tiger\0018.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0019.jpg,python\dataset\tiger\0019.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0020.jpg,python\dataset\tiger\0020.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0021.jpg,python\dataset\tiger\0021.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0022.jpg,python\dataset\tiger\0022.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0023.jpg,python\dataset\tiger\0023.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0024.jpg,python\dataset\tiger\0024.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0025.jpg,python\dataset\tiger\0025.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0026.jpg,python\dataset\tiger\0026.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0027.jpg,python\dataset\tiger\0027.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0028.jpg,python\dataset\tiger\0028.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0029.jpg,python\dataset\tiger\0029.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0030.jpg,python\dataset\tiger\0030.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0031.jpg,python\dataset\tiger\0031.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0032.jpg,python\dataset\tiger\0032.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0033.jpg,python\dataset\tiger\0033.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0034.jpg,python\dataset\tiger\0034.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0035.jpg,python\dataset\tiger\0035.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0036.jpg,python\dataset\tiger\0036.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0037.jpg,python\dataset\tiger\0037.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0038.jpg,python\dataset\tiger\0038.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0039.jpg,python\dataset\tiger\0039.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0040.jpg,python\dataset\tiger\0040.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0041.jpg,python\dataset\tiger\0041.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0042.jpg,python\dataset\tiger\0042.jpg,tiger
C:\Users\TUFman\Desktop\python\python\dataset\tiger\0043.jpg,python\dataset\tiger\0043.jpg,tiger
